Summary Statistics of TFSA by FSA,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,,
PRUID,FSA,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,,
13,E7M,3450 ,74719000 ,1990 ,14479000 ,1220 ,7175000 ,,,,,,,,,,,,,,,,,
13,E7N,980 ,19383000 ,560 ,3875000 ,320 ,1605000 ,,,,,,,,,,,,,,,,,
13,E7P,1140 ,23949000 ,650 ,4698000 ,400 ,2279000 ,,,,,,,,,,,,,,,,,
13,E8A,800 ,23736000 ,400 ,4862000 ,220 ,1945000 ,,,,,,,,,,,,,,,,,
13,E8B,490 ,12204000 ,220 ,1856000 ,160 ,1428000 ,,,,,,,,,,,,,,,,,
13,E8C,900 ,23035000 ,460 ,3648000 ,280 ,2263000 ,,,,,,,,,,,,,,,,,
13,E8E,1450 ,37357000 ,690 ,6055000 ,370 ,2879000 ,,,,,,,,,,,,,,,,,
13,E8G,580 ,15202000 ,270 ,2456000 ,140 ,1231000 ,,,,,,,,,,,,,,,,,
13,E8J,1620 ,34825000 ,890 ,7050000 ,580 ,4510000 ,,,,,,,,,,,,,,,,,
13,E8K,2480 ,58985000 ,1380 ,11572000 ,850 ,6022000 ,,,,,,,,,,,,,,,,,
13,E8L,490 ,8524000 ,260 ,1609000 ,170 ,870000 ,,,,,,,,,,,,,,,,,
13,E8M,410 ,10077000 ,180 ,1901000 ,110 ,887000 ,,,,,,,,,,,,,,,,,
13,E8N,500 ,10270000 ,220 ,1690000 ,150 ,1087000 ,,,,,,,,,,,,,,,,,
13,E8P,720 ,17753000 ,350 ,2979000 ,210 ,1330000 ,,,,,,,,,,,,,,,,,
13,E8R,510 ,9396000 ,220 ,1589000 ,150 ,851000 ,,,,,,,,,,,,,,,,,
13,E8S,1140 ,28408000 ,500 ,4068000 ,290 ,2141000 ,,,,,,,,,,,,,,,,,
13,E8T,1330 ,39250000 ,590 ,5322000 ,340 ,2799000 ,,,,,,,,,,,,,,,,,
13,E9A,490 ,13879000 ,200 ,2075000 ,130 ,1002000 ,,,,,,,,,,,,,,,,,
13,E9B,360 ,7286000 ,170 ,1137000 ,90 ,641000 ,,,,,,,,,,,,,,,,,
13,E9C,500 ,11703000 ,270 ,1996000 ,150 ,1035000 ,,,,,,,,,,,,,,,,,
13,E9E,900 ,18906000 ,450 ,3215000 ,260 ,1651000 ,,,,,,,,,,,,,,,,,
13,E9G,870 ,15853000 ,440 ,2601000 ,270 ,1651000 ,,,,,,,,,,,,,,,,,
13,E9H,500 ,9779000 ,240 ,2050000 ,140 ,948000 ,,,,,,,,,,,,,,,,,
TOTAL,,237960 ,5695109000 ,133230 ,1061851000 ,74930 ,522989000 ,,,,,,,,,,,,,,,,,
24,G0A,33450 ,967862000 ,20280 ,189713000 ,10370 ,84826000 ,,,,,,,,,,,,,,,,,
24,G0C,14580 ,363914000 ,8340 ,74031000 ,4900 ,36749000 ,,,,,,,,,,,,,,,,,
24,G0E,1170 ,28737000 ,590 ,6249000 ,360 ,2765000 ,,,,,,,,,,,,,,,,,
24,G0G,5400 ,105356000 ,3190 ,25046000 ,1930 ,13332000 ,,,,,,,,,,,,,,,,,
24,G0H,2310 ,48972000 ,1280 ,11149000 ,790 ,5311000 ,,,,,,,,,,,,,,,,,
24,G0J,9070 ,219733000 ,5340 ,45056000 ,3000 ,20687000 ,,,,,,,,,,,,,,,,,
